question,answer,type,option1,option2,option3,option4
What is the Quantity given the Symbol (time-dependent) is v?,Voltage,MC,Voltage,Current,Power,Energy
What is the Quantity given the Unit (full name) is Volt?,Voltage,MC,Voltage,Ampere,Watt,Joule
What is the Symbol (time-dependent) for the Quantity Voltage?,v,MC,v,i,p,w
What is the Symbol (time-dependent) given the Unit (full name) is Volt?,v,MC,v,i,p,w
What is the Unit (full name) for the Quantity Voltage?,Volt,MC,Volt,Ampere,Watt,Joule
What is the Unit (full name) given the Symbol (time-dependent) is v?,Volt,MC,Volt,Ampere,Watt,Joule
What is the Quantity given the Symbol (time-dependent) is i?,Current,MC,Voltage,Current,Power,Energy
What is the Quantity given the Unit (full name) is Ampere?,Current,MC,Current,Ampere,Watt,Joule
What is the Symbol (time-dependent) for the Quantity Current?,i,MC,v,i,p,w
What is the Symbol (time-dependent) given the Unit (full name) is Ampere?,i,MC,v,i,p,w
What is the Unit (full name) for the Quantity Current?,Ampere,MC,Volt,Ampere,Watt,Joule
What is the Unit (full name) given the Symbol (time-dependent) is i?,Ampere,MC,Volt,Ampere,Watt,Joule
What is the Quantity given the Symbol (time-dependent) is p?,Power,MC,Voltage,Current,Power,Energy
What is the Quantity given the Unit (full name) is Watt?,Power,MC,Volt,Ampere,Watt,Joule
What is the Symbol (time-dependent) for the Quantity Power?,p,MC,v,i,p,w
What is the Symbol (time-dependent) given the Unit (full name) is Watt?,p,MC,v,i,p,w
What is the Unit (full name) for the Quantity Power?,Watt,MC,Volt,Ampere,Watt,Joule
What is the Unit (full name) given the Symbol (time-dependent) is p?,Watt,MC,Volt,Ampere,Watt,Joule
What is the Quantity given the Symbol (time-dependent) is w?,Energy,MC,Voltage,Current,Power,Energy
What is the Quantity given the Unit (full name) is Joule?,Energy,MC,Volt,Ampere,Watt,Joule
What is the Symbol (time-dependent) for the Quantity Energy?,w,MC,v,i,p,w
What is the Symbol (time-dependent) given the Unit (full name) is Joule?,w,MC,v,i,p,w
What is the Unit (full name) for the Quantity Energy?,Joule,MC,Volt,Ampere,Watt,Joule
What is the Unit (full name) given the Symbol (time-dependent) is w?,Joule,MC,Volt,Ampere,Watt,Joule
Current always takes the path of least resistance in a circuit.,FALSE,TF,TRUE,FALSE,,
Resistors in parallel have a total resistance that is greater than the largest individual resistor.,FALSE,TF,TRUE,FALSE,,
An open circuit has zero resistance.,TRUE,TF,FALSE,TRUE,,
A closed switch in a circuit allows current to flow through it.,TRUE,TF,TRUE,FALSE,,
Capacitors store electrical energy in the form of voltage.,TRUE,TF,TRUE,FALSE,,
